RN;SAT;Regiío;Estado;Latitude;Longitude;Alt.Orto. (H);Alt.Geom. (h);Ondula?ío (N) Conexío *;Ondula?ío (N) MAPGEO2015 **;Discrepüncias dif.Conexío_X_MAPGEO2015;Link do SAT no Banco de Dados
1190A;91327;CENTRO-OESTE;DISTRITO FEDERAL;-15,9788127;-47,8195672;1059,4979;1046,867;-12,63;-12,57;-0,06;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91327
1190C;91329;CENTRO-OESTE;DISTRITO FEDERAL;-16,0197671;-47,8008205;882,4898;869,761;-12,73;-12,59;-0,14;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91329
2194B;91319;CENTRO-OESTE;DISTRITO FEDERAL;-15,5633432;-47,6591913;1015,9372;1002,807;-13,13;-12,98;-0,15;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91319
2194D;91320;CENTRO-OESTE;DISTRITO FEDERAL;-15,5304971;-47,625435;1037,8666;1024,758;-13,11;-13,08;-0,03;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91320
2223M;91332;CENTRO-OESTE;DISTRITO FEDERAL;-15,9377468;-47,8075113;1041,0164;1028,741;-12,28;-12,58;0,3;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91332
2223S;91326;CENTRO-OESTE;DISTRITO FEDERAL;-15,9479968;-47,7123234;1012,9521;1000,167;-12,79;-12,77;-0,02;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91326
2223X;91316;CENTRO-OESTE;DISTRITO FEDERAL;-15,9603608;-47,6369519;963,8676;951,03;-12,84;-12,73;-0,11;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91316
2224E;91318;CENTRO-OESTE;DISTRITO FEDERAL;-16,0246319;-47,5457596;1038,453;1025,616;-12,84;-12,79;-0,05;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91318
2226G;91321;CENTRO-OESTE;DISTRITO FEDERAL;-15,8507793;-47,6240649;1048,3217;1035,494;-12,83;-12,76;-0,07;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91321
2226N;91322;CENTRO-OESTE;DISTRITO FEDERAL;-15,7339082;-47,6616107;923,6838;910,795;-12,89;-12,79;-0,1;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91322
2227C;91323;CENTRO-OESTE;DISTRITO FEDERAL;-16,0374104;-47,4139167;872,0277;859,058;-12,97;-12,84;-0,13;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91323
2227P;91324;CENTRO-OESTE;DISTRITO FEDERAL;-15,7900531;-47,3805571;940,7088;927,563;-13,15;-12,99;-0,16;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91324
2227Z;91325;CENTRO-OESTE;DISTRITO FEDERAL;-15,6289667;-47,3566289;918,8448;905,579;-13,27;-13,19;-0,08;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91325
2263R;91330;CENTRO-OESTE;DISTRITO FEDERAL;-15,6938435;-48,216955;1076,3926;1064,109;-12,28;-12,27;-0,01;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91330
2264G;91328;CENTRO-OESTE;DISTRITO FEDERAL;-15,556042;-48,1959684;940,2857;927,434;-12,85;-12,82;-0,03;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91328
2369V;91200;CENTRO-OESTE;DISTRITO FEDERAL;-15,9474753;-47,877869;1118,4798;1106,018;-12,46;-12,46;0;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91200
2378G;91166;CENTRO-OESTE;DISTRITO FEDERAL;-15,9478;-47,8769802;1113,6086;1101,08;-12,53;-12,46;-0,07;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91166
2378H;91167;CENTRO-OESTE;DISTRITO FEDERAL;-15,9467634;-47,8786248;1108,2206;1095,701;-12,52;-12,45;-0,07;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91167
2378J;91168;CENTRO-OESTE;DISTRITO FEDERAL;-15,9486497;-47,8781856;1115,7642;1103,236;-12,53;-12,45;-0,08;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91168
2378L;91127;CENTRO-OESTE;DISTRITO FEDERAL;-15,9461897;-47,8842643;1102,4729;1090,005;-12,47;-12,44;-0,03;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91127
9305U;91315;CENTRO-OESTE;DISTRITO FEDERAL;-15,7813644;-47,7906928;1072,5604;1059,904;-12,66;-12,59;-0,07;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91315
9501V;96123;CENTRO-OESTE;DISTRITO FEDERAL;-15,9274337;-47,8337306;1168,3814;1155,874;-12,51;-12,53;0,02;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96123
1236J;92840;CENTRO-OESTE;GOIÊÅS;-18,7697159;-51,3481388;481,3955;474,547;-6,85;-6,9;0,05;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92840
1256H;91309;CENTRO-OESTE;GOIÊÅS;-15,8515438;-50,0923884;665,713;657,969;-7,74;-7,6;-0,14;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91309
1256L;92846;CENTRO-OESTE;GOIÊÅS;-15,8051168;-50,1207568;523,1271;515,346;-7,78;-7,59;-0,19;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92846
1282V;92848;CENTRO-OESTE;GOIÊÅS;-14,4931662;-50,0644913;416,984;407,44;-9,54;-9,65;0,11;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92848
1287S;92842;CENTRO-OESTE;GOIÊÅS;-17,1284195;-51,2242959;851,1188;846,014;-5,1;-5,02;-0,08;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92842
1288T;92841;CENTRO-OESTE;GOIÊÅS;-17,5745672;-51,0908541;807,189;801,734;-5,45;-5,3;-0,15;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92841
1357V;92849;CENTRO-OESTE;GOIÊÅS;-13,2729941;-50,1625731;331,686;319,143;-12,54;-12,43;-0,11;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92849
2269L;92603;CENTRO-OESTE;GOIÊÅS;-14,181619;-48,076216;495,0596;479,786;-15,27;-15,2;-0,07;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92603
2269M;92602;CENTRO-OESTE;GOIÊÅS;-14,160942;-48,075583;535,3635;520,118;-15,25;-15,18;-0,07;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92602
2326G;92613;CENTRO-OESTE;GOIÊÅS;-16,6901934;-49,2534493;800,9625;791,146;-9,82;-9,59;-0,23;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92613
3200V;92858;CENTRO-OESTE;GOIÊÅS;-16,9311748;-48,3707941;957,488;946,032;-11,46;-11,34;-0,12;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92858
3254X;92604;CENTRO-OESTE;GOIÊÅS;-13,7312729;-48,1401703;333,3172;318,692;-14,63;-14,46;-0,17;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92604
3254Z;92622;CENTRO-OESTE;GOIÊÅS;-13,8860227;-48,1507703;702,433;687,819;-14,61;-14,52;-0,09;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92622
3261L;92713;CENTRO-OESTE;GOIÊÅS;-18,3884081;-49,0687673;523,3435;511,929;-11,41;-11,22;-0,19;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92713
651J;92839;CENTRO-OESTE;GOIÊÅS;-18,2165898;-49,7374279;630,4158;621,797;-8,62;-8,6;-0,02;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92839
663Z;92620;CENTRO-OESTE;GOIÊÅS;-14,527108;-49,105316;527,6151;515,362;-12,25;-12,22;-0,03;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92620
674V;92861;CENTRO-OESTE;GOIÊÅS;-13,4352651;-49,1445341;397,064;384,915;-12,15;-12,02;-0,13;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92861
700H;92844;CENTRO-OESTE;GOIÊÅS;-15,8644467;-50,8691884;322,2599;315,915;-6,34;-6,15;-0,19;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92844
701Z;92845;CENTRO-OESTE;GOIÊÅS;-15,9338721;-50,1400324;490,3529;482,844;-7,51;-7,32;-0,19;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92845
708E;92838;CENTRO-OESTE;GOIÊÅS;-17,1499275;-50,017456;597,3262;589,237;-8,09;-7,85;-0,24;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92838
717Z;92843;CENTRO-OESTE;GOIÊÅS;-17,3572168;-52,679413;858,4669;855,003;-3,46;-3,28;-0,18;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92843
1045V;92817;CENTRO-OESTE;MATO GROSSO;-15,6589788;-57,2704588;205,4987;210,809;5,31;5,35;-0,04;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92817
1202K;92722;CENTRO-OESTE;MATO GROSSO;-17,09718;-54,760817;475,4488;477,443;1,99;1,67;0,32;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92722
1215Z;90404;CENTRO-OESTE;MATO GROSSO;-10,185202;-54,945859;292,5947;283,022;-9,57;-9,99;0,42;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=90404
1220P;90295;CENTRO-OESTE;MATO GROSSO;-12,6728393;-55,7943447;322,027;319,193;-2,83;-2,62;-0,21;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=90295
1225B;92803;CENTRO-OESTE;MATO GROSSO;-15,4825401;-52,2031307;319,3291;314,148;-5,18;-5,08;-0,1;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92803
1268V;92805;CENTRO-OESTE;MATO GROSSO;-11,762609;-51,961458;361,4682;349,278;-12,19;-11,86;-0,33;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92805
1273L;92806;CENTRO-OESTE;MATO GROSSO;-10,5446818;-53,5831038;335,3922;323,324;-12,07;-11,8;-0,27;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92806
1279N;91340;CENTRO-OESTE;MATO GROSSO;-11,532244;-56,757964;313,199;308,86;-4,34;-4;-0,34;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91340
2197J;92802;CENTRO-OESTE;MATO GROSSO;-15,7553217;-53,6179384;610,7817;607,358;-3,42;-3,26;-0,16;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92802
2222C;92813;CENTRO-OESTE;MATO GROSSO;-15,339169;-58,869826;366,6954;379,356;12,66;12,49;0,17;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92813
2229R;91343;CENTRO-OESTE;MATO GROSSO;-13,6589473;-57,8914344;568,7417;575,618;6,88;6,78;0,1;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91343
2231H;92815;CENTRO-OESTE;MATO GROSSO;-12,91912;-58,04651;475,036;481,374;6,34;6,33;0,01;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92815
2234T;91345;CENTRO-OESTE;MATO GROSSO;-11,581004;-58,330561;277,8662;281,742;3,88;3,71;0,17;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91345
2236Z;91346;CENTRO-OESTE;MATO GROSSO;-11,62834;-59,077742;369,1529;376,359;7,21;6,72;0,49;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91346
2238E;92814;CENTRO-OESTE;MATO GROSSO;-11,988765;-59,42792;394,4884;404,088;9,6;9,62;-0,02;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92814
2250L;92811;CENTRO-OESTE;MATO GROSSO;-15,0780091;-55,9948593;417,9485;418,466;0,52;0,83;-0,31;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92811
3278H;92586;CENTRO-OESTE;MATO GROSSO;-15,5542953;-56,0688301;222,7995;224,893;2,09;2,22;-0,13;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92586
3278J;92587;CENTRO-OESTE;MATO GROSSO;-15,5550094;-56,0706384;226,112;228,21;2,1;2,22;-0,12;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92587
3278L;92588;CENTRO-OESTE;MATO GROSSO;-15,5559585;-56,0702852;230,542;232,563;2,02;2,23;-0,21;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92588
3278M;92583;CENTRO-OESTE;MATO GROSSO;-15,555263;-56,0698666;235,3441;237,443;2,1;2,22;-0,12;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92583
3278N;92584;CENTRO-OESTE;MATO GROSSO;-15,5508491;-56,0558676;250,891;252,937;2,05;2,18;-0,13;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92584
724T;92818;CENTRO-OESTE;MATO GROSSO;-16,1901133;-54,7846319;293,9486;293,573;-0,38;-0,23;-0,15;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92818
748G;92816;CENTRO-OESTE;MATO GROSSO;-14,4472217;-58,4211914;716,2459;727,158;10,91;10,88;0,03;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92816
751B;91348;CENTRO-OESTE;MATO GROSSO;-14,0771718;-59,436271;642,4889;656,875;14,39;14,25;0,14;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91348
9517B;91255;CENTRO-OESTE;MATO GROSSO;-13,8465854;-59,5563607;632,0236;645,808;13,78;13,9;-0,12;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91255
1207X;91294;CENTRO-OESTE;MATO GROSSO DO SUL;-19,7916007;-54,3674329;619,2313;619,951;0,72;0,97;-0,25;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91294
1247J;91308;CENTRO-OESTE;MATO GROSSO DO SUL;-21,839886;-52,6732029;352,6256;348,949;-3,68;-3,59;-0,09;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91308
1249E;91307;CENTRO-OESTE;MATO GROSSO DO SUL;-21,6232648;-53,6517208;403,3889;401,315;-2,07;-1,88;-0,19;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91307
1501B;91288;CENTRO-OESTE;MATO GROSSO DO SUL;-20,0519893;-51,8461119;481,8331;475,342;-6,49;-6,27;-0,22;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91288
1505J;91290;CENTRO-OESTE;MATO GROSSO DO SUL;-19,616084;-52,509999;379,1061;373,252;-5,85;-5,57;-0,28;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91290
1507H;91297;CENTRO-OESTE;MATO GROSSO DO SUL;-18,8388303;-53,1363225;716,3644;712,881;-3,48;-3,43;-0,05;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91297
1513J;91292;CENTRO-OESTE;MATO GROSSO DO SUL;-19,7125195;-55,4112171;138,6258;144,259;5,63;5,68;-0,05;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91292
1514C;91293;CENTRO-OESTE;MATO GROSSO DO SUL;-20,0622463;-55,6364253;152,0943;158,582;6,49;6,59;-0,1;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91293
1518J;91301;CENTRO-OESTE;MATO GROSSO DO SUL;-21,6308651;-55,569669;562,9441;569,769;6,82;6,82;0;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91301
1520C;91299;CENTRO-OESTE;MATO GROSSO DO SUL;-21,6929126;-54,7075688;384,4296;386,637;2,21;2,22;-0,01;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91299
1531Z;91306;CENTRO-OESTE;MATO GROSSO DO SUL;-22,3692596;-54,2089737;435,6806;435,734;0,05;0,31;-0,26;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91306
1535L;91302;CENTRO-OESTE;MATO GROSSO DO SUL;-22,4706279;-55,400953;573,3569;579,989;6,63;6,59;0,04;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91302
1538M;92797;CENTRO-OESTE;MATO GROSSO DO SUL;-22,4558418;-54,8404471;415,8753;419,118;3,24;3,43;-0,19;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92797
1540J;92798;CENTRO-OESTE;MATO GROSSO DO SUL;-23,2214146;-55,2073434;452,6887;457,982;5,29;5,37;-0,08;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92798
1540V;91303;CENTRO-OESTE;MATO GROSSO DO SUL;-23,4575066;-55,158689;414,0445;419,045;5;5,05;-0,05;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91303
1549G;92801;CENTRO-OESTE;MATO GROSSO DO SUL;-23,7575801;-54,3060214;340,5944;343,006;2,41;2,53;-0,12;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92801
1557E;91298;CENTRO-OESTE;MATO GROSSO DO SUL;-20,7296133;-56,6278922;398,0049;409,997;11,99;11,88;0,11;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91298
1561R;92799;CENTRO-OESTE;MATO GROSSO DO SUL;-23,6759591;-55,3945529;343,2917;349,418;6,13;6,14;-0,01;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92799
1563E;92800;CENTRO-OESTE;MATO GROSSO DO SUL;-23,9795908;-55,0403344;418,4996;423,764;5,26;5,26;0;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92800
1564T;91304;CENTRO-OESTE;MATO GROSSO DO SUL;-23,5345678;-54,395352;364,7957;366,869;2,07;2,19;-0,12;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91304
1571H;91305;CENTRO-OESTE;MATO GROSSO DO SUL;-22,6395328;-54,0414466;382,6504;382,206;-0,44;-0,31;-0,13;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91305
2258B;92723;CENTRO-OESTE;MATO GROSSO DO SUL;-18,1792446;-54,6376302;336,3815;337,581;1,2;1,45;-0,25;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92723
2259D;91296;CENTRO-OESTE;MATO GROSSO DO SUL;-17,982899;-54,2264082;381,0665;380,334;-0,73;-0,57;-0,16;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91296
255X;91289;CENTRO-OESTE;MATO GROSSO DO SUL;-20,5554049;-52,4999399;323,0012;317,679;-5,32;-5,09;-0,23;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91289
258Y;91291;CENTRO-OESTE;MATO GROSSO DO SUL;-20,4291822;-55,3191999;194,6976;199,593;4,9;4,76;0,14;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=91291
3287D;92725;CENTRO-OESTE;MATO GROSSO DO SUL;-19,0002814;-57,6296147;142,8603;156,591;13,73;13,81;-0,08;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=92725
2483A;96514;NORDESTE;ALAGOAS;-9,7606541;-36,5067529;194,2789;186,652;-7,63;-7,83;0,2;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96514
2515Z;96513;NORDESTE;ALAGOAS;-9,5197849;-36,9875975;190,4478;181,969;-8,48;-8,54;0,06;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=96513
2522M;93242;NORDESTE;ALAGOAS;-9,3867758;-37,9913943;233,1572;222,872;-10,29;-10,3;0,01;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93242
2539X;93243;NORDESTE;ALAGOAS;-9,1375759;-37,3153682;396,1662;387,866;-8,3;-8,44;0,14;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93243
1168C;93248;NORDESTE;BAHIA;-15,2419476;-40,3270233;328,3184;318,358;-9,96;-10,07;0,11;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93248
1184N;93077;NORDESTE;BAHIA;-14,2035484;-42,757668;542,647;529,641;-13,01;-12,93;-0,08;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93077
1184V;93078;NORDESTE;BAHIA;-14,2158143;-42,8431819;508,0783;495,124;-12,95;-12,95;0;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93078
1369E;93264;NORDESTE;BAHIA;-12,7935782;-45,9517289;761,007;747,183;-13,82;-13,79;-0,03;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93264
2295G;93263;NORDESTE;BAHIA;-13,4124647;-44,7209567;713,497;701,434;-12,06;-12,08;0,02;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93263
2295R;93080;NORDESTE;BAHIA;-13,341405;-44,6372649;569,679;557,382;-12,3;-12,26;-0,04;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93080
2300H;93266;NORDESTE;BAHIA;-12,7091994;-44,5658912;775,8569;762,297;-13,56;-13,47;-0,09;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93266
2302R;93083;NORDESTE;BAHIA;-12,1649782;-45,0086262;444,3081;429,295;-15,01;-14,91;-0,1;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93083
2303H;93265;NORDESTE;BAHIA;-12,430357;-45,084385;524,7628;511,219;-13,54;-14,01;0,47;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93265
232O;93289;NORDESTE;BAHIA;-14,1200692;-40,2301735;298,4745;288,947;-9,53;-9,68;0,15;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93289
2361E;93285;NORDESTE;BAHIA;-12,98414;-44,0492014;531,8772;518,057;-13,82;-13,78;-0,04;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93285
2501Z;93124;NORDESTE;BAHIA;-10,535493;-38,384022;430,2478;415,919;-14,33;-14,13;-0,2;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93124
2556A;93135;NORDESTE;BAHIA;-11,5560898;-38,133931;168,8963;157,083;-11,81;-11,78;-0,03;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93135
2558X;93305;NORDESTE;BAHIA;-11,9589688;-37,9530835;84,4796;73,953;-10,53;-10,42;-0,11;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93305
2560A;93131;NORDESTE;BAHIA;-12,165413;-38,475768;220,4495;208,289;-12,16;-11,98;-0,18;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93131
2561L;93125;NORDESTE;BAHIA;-10,7011982;-38,1989951;252,5942;239,774;-12,82;-12,59;-0,23;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93125
2564D;93136;NORDESTE;BAHIA;-11,6261229;-38,3013549;274,2727;261,286;-12,99;-12,78;-0,21;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93136
2567P;93138;NORDESTE;BAHIA;-12,6509431;-38,3387953;53,7121;42,342;-11,37;-11,24;-0,13;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93138
2576S;93130;NORDESTE;BAHIA;-11,6757042;-38,9961985;344,1188;332,095;-12,02;-12;-0,02;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93130
2577M;93129;NORDESTE;BAHIA;-12,0739443;-38,9696408;241,3761;229,845;-11,53;-11,48;-0,05;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93129
2605N;93119;NORDESTE;BAHIA;-10,5608273;-38,9900793;395,727;382,892;-12,84;-12,72;-0,11;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93119
263X;93302;NORDESTE;BAHIA;-15,0982211;-39,9958874;246,7948;236,51;-10,28;-10,38;0,1;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93302
2719N;93092;NORDESTE;BAHIA;-9,4101911;-40,8163392;400,662;387,001;-13,66;-13,58;-0,08;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93092
2719P;93093;NORDESTE;BAHIA;-9,4294855;-40,8266698;399,0217;385,339;-13,68;-13,61;-0,07;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93093
2719X;93091;NORDESTE;BAHIA;-9,4896271;-40,808191;381,8828;368,203;-13,68;-13,57;-0,11;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93091
2720V;93089;NORDESTE;BAHIA;-9,4701429;-40,54451;374,2487;361,041;-13,21;-13,08;-0,13;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93089
2774S;93268;NORDESTE;BAHIA;-10,8714528;-45,1451296;532,6981;516,199;-16,5;-16,33;-0,17;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93268
2776N;93267;NORDESTE;BAHIA;-11,502677;-44,957125;505,2625;488,085;-17,18;-16,96;-0,22;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93267
278H;93304;NORDESTE;BAHIA;-12,1346806;-39,3381197;245,2172;234,074;-11,14;-11,24;0,1;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93304
2792B;93253;NORDESTE;BAHIA;-10,665878;-39,5183271;370,7654;358,621;-12,14;-12,21;0,07;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93253
2796G;93280;NORDESTE;BAHIA;-10,2360891;-40,2039409;674,8515;662,743;-12,11;-12,1;-0,01;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93280
285C;93288;NORDESTE;BAHIA;-13,5949831;-41,3673194;1161,1113;1149,856;-11,26;-11,4;0,14;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93288
289S;93308;NORDESTE;BAHIA;-11,1703175;-40,5412291;467,8062;455,701;-12,11;-12,05;-0,06;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93308
296X;93127;NORDESTE;BAHIA;-10,8926479;-38,5099616;209,7491;194,877;-14,87;-14,82;-0,05;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93127
310N;93281;NORDESTE;BAHIA;-11,05944;-42,310874;459,5591;443,603;-15,96;-15,56;-0,4;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93281
314D;93122;NORDESTE;BAHIA;-9,9362676;-38,7482038;321,4322;308,807;-12,63;-12,43;-0,2;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93122
317B;93126;NORDESTE;BAHIA;-10,2007593;-37,8673678;250,9831;240,734;-10,25;-10,27;0,02;http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=93126
